# d_alpha d_delta
-1.293270995494921749e-04 -1.584159769443260757e-04
-1.147019360248080488e-04 -1.570140416009557782e-04
-1.000767471568408951e-04 -1.556103317685852971e-04
-8.545153298289420718e-05 -1.542048473575086120e-04
-7.082629354115965725e-05 -1.527975882784637918e-04
-5.620102886982891732e-05 -1.513885544413007267e-04
-4.157573900442912418e-05 -1.499777457580897533e-04
-2.695042398404012829e-05 -1.485651621373484943e-04
-1.232508384596542328e-05 -1.471508034915913754e-04
2.300281372491497223e-06 -1.457346697288919302e-04
1.692567163491531801e-05 -1.443167607608764058e-04
3.155108690222618861e-05 -1.428970764969506035e-04
4.617652713800879383e-05 -1.414756168469644138e-04
6.080199230407146160e-05 -1.400523817212118161e-04
7.542748236222251990e-05 -1.386273710290986116e-04
9.005299727693483192e-05 -1.372005846804746909e-04
1.046785370100167256e-04 -1.357720225851899443e-04
1.193041015232765290e-04 -1.343416846517619945e-04
1.339296907794107483e-04 -1.329095707904848211e-04
-1.316197961580556353e-04 -1.279644437213178776e-05
-1.169957597113580050e-04 -1.139270516592461036e-05
-1.023716978707511771e-04 -9.987188915872025063e-06
-8.774761067353864519e-05 -8.579895533156189913e-06
-7.312349815613572446e-05 -7.170824927182906094e-06
-5.849936035762226538e-05 -5.759977009134331638e-06
-4.387519731530176159e-05 -4.347351688416267734e-06
-2.925100906647770671e-05 -2.932948875322693993e-06
-1.462679564756541595e-05 -1.516768480147590026e-06
-2.557098532918189449e-09 -9.881041185266781213e-08
1.462170654598082820e-05 1.320925419268093037e-06
2.924599524600779432e-05 2.742439102920712912e-06
4.387030896602084340e-05 4.165730731031658252e-06
5.849464766694012496e-05 5.590800391974681816e-06
7.311901131146214539e-05 7.017648179008517673e-06
8.774339986228341104e-05 8.446274180506918583e-06
1.023678132829886067e-04 9.876678488840440195e-06
1.169922515344978819e-04 1.130886119371510290e-05
1.316167145795077431e-04 1.274282238616919471e-05
-1.339059417171384325e-04 1.330394359948527949e-04
-1.192830333485161987e-04 1.344449883413645352e-04
-1.046600995344704188e-04 1.358523202976691380e-04
-9.003714031141640817e-05 1.372614319525844451e-04
-7.541415571932219564e-05 1.386723233971487446e-04
-6.079114579282673958e-05 1.400849947210680568e-04
-4.616811057100989046e-05 1.414994460153806699e-04
-3.154505009117514192e-05 1.429156773689044257e-04
-1.692196439151416598e-05 1.443336888740098800e-04
-2.298853508442277871e-06 1.457534806190707855e-04
1.232428251984885037e-05 1.471750526955695193e-04
2.694744365605572511e-05 1.485984051949884588e-04
4.157062986198667431e-05 1.500235382074777135e-04
5.619384110033820434e-05 1.514504518236314823e-04
7.081707733380682157e-05 1.528791461349321423e-04
8.544033852597721079e-05 1.543096212319738925e-04
1.000636246368813431e-04 1.557418772062391099e-04
1.146869356301039033e-04 1.571759141492101719e-04
1.293102714683413978e-04 1.586117321519253665e-04
